gen	nevals	avg    	std    	min    	max    
0  	16    	2791.21	1489.44	1399.89	4871.47
1  	16    	1832.81	1157.11	156.781	4792.57
2  	16    	1686.6 	631.304	1381.86	3912.68
3  	16    	1883.78	889.821	1204.87	4624.21
4  	16    	2211.8 	1344.88	1216.69	4802.91
5  	16    	1144   	536.904	119.678	1937.99
6  	16    	1297.85	667.663	201.38 	2996.52
7  	16    	686.996	531.703	112.141	1899.02
8  	16    	436.357	468.924	81.3039	1937.99
9  	16    	1139.15	870.111	81.2524	2970.01
10 	16    	715.345	672.741	99.717 	1958.49
11 	16    	403.309	539.818	83.5085	2020.68
12 	16    	438.137	586.073	78.4401	1937.99
13 	16    	1616.84	1787.66	80.9453	4730.07
14 	16    	1935.02	1931.43	78.8381	4723.97
15 	16    	987.81 	1482.4 	79.6356	4747.26
16 	16    	350.866	393.457	75.9419	1374.43
17 	16    	652.475	980.218	74.0219	3668.47
18 	16    	270.77 	369.057	72.3273	1394.94
19 	16    	467.678	765.62 	75.0033	2953.55
20 	16    	447.198	1107.73	70.4525	4631.93
21 	16    	678.484	1057.54	74.2152	4169.97
22 	16    	348.451	483.653	74.1867	1512.66
23 	16    	694.847	1095.87	73.3384	4283.03
24 	16    	426.405	552.974	75.1363	1760.84
25 	16    	508.826	596.856	73.8688	1748.27
26 	16    	254.758	331.452	76.1573	1159.15
27 	16    	1069.34	1033.19	74.4522	3884.37
28 	16    	1083.26	1208.77	73.9252	4689.98
29 	16    	506.586	617.314	76.1874	1779.29
30 	16    	217.186	219.784	74.8224	886.116
31 	16    	236.446	395.197	70.5437	1683.85
32 	16    	369.734	1122.43	72.5278	4716.75
33 	16    	464.255	559.681	72.9909	1646.18
34 	16    	237.947	412.854	69.2975	1776.52
35 	16    	400.024	537.079	71.1993	1774.66
36 	16    	278.791	384.42 	72.6142	1377.49
37 	16    	78.9117	7.25683	71.5284	96.931 
38 	16    	188.358	409.937	70.6416	1774.88
39 	16    	402.604	498.686	71.1478	1463.01
40 	16    	93.5954	47.5612	71.4044	271.228
41 	16    	351.748	446.111	71.7866	1574.74
42 	16    	359.431	482.294	69.7313	1494.47
43 	16    	526.373	1079.11	70.7136	4356.48
44 	16    	509.07 	694.892	71.5138	1937.99
45 	16    	315.501	455.046	71.5757	1468.97
46 	16    	348.456	788.232	70.9503	3228.08
47 	16    	306.135	476.019	69.4597	1335.22
48 	16    	73.935 	3.10416	68.1213	80.8004
49 	16    	91.384 	49.2252	72.4105	277.018
50 	16    	83.7716	21.1682	71.254 	142.35 
51 	16    	152.589	298.013	70.9708	1306.67
52 	16    	328.543	975.382	70.0457	4106.07
53 	16    	144.747	253.046	72.5098	1124.03
54 	16    	165.915	297.836	71.163 	1313.88
55 	16    	160.455	298.066	71.4253	1311.48
56 	16    	155.929	288.947	70.0312	1270.24
57 	16    	201.914	267.655	71.5635	1033.96
58 	16    	444.192	1021.17	71.3279	4204.45
59 	16    	408.808	1046.09	69.3026	4356.84
60 	16    	272.9  	363.29 	71.6541	1140.39
61 	16    	175.272	253.941	72.1023	1050   
62 	16    	144.679	259.475	71.261 	1149.46
63 	16    	204.48 	331.535	71.0059	1200.58
64 	16    	152.095	292.925	68.4057	1286.42
65 	16    	75.8645	5.2884 	69.7387	91.3703
66 	16    	88.7821	55.3322	69.1733	302.685
67 	16    	80.2983	10.084 	70.9345	113.44 
68 	16    	235.776	432.324	71.3916	1635.21
69 	16    	75.3927	2.83252	71.7733	81.1917
70 	16    	74.2069	2.06567	70.0645	77.7413
71 	16    	74.1678	1.9506 	70.3489	78.1323
72 	16    	116.938	100.689	70.7799	459.855
73 	16    	74.4665	2.53009	70.1955	79.407 
74 	16    	74.332 	4.0413 	70.5605	87.1079
75 	16    	74.5975	3.06867	70.6743	82.516 
76 	16    	74.0817	2.72821	70.437 	78.6941
77 	16    	73.4351	2.64449	68.6262	79.5187
78 	16    	76.9164	5.78633	71.6219	95.8737
79 	16    	75.7595	7.48766	70.5552	100.507
80 	16    	83.6055	23.8343	70.3967	171.121
81 	16    	80.2279	6.05053	74.3235	95.3685
82 	16    	79.8179	20.0848	70.4041	156.234
83 	16    	75.103 	5.45276	69.679 	93.9117
84 	16    	74.5647	2.27825	68.0175	78.1028
85 	16    	85.2282	43.0332	69.8739	251.692
86 	16    	79.4483	13.6876	70.7107	128.914
87 	16    	74.6174	7.39287	68.5074	101.053
88 	16    	145.06 	262.357	70.5982	1160.93
89 	16    	72.7724	1.929  	70.0196	77.115 
90 	16    	74.5146	4.36899	69.2702	90.0597
91 	16    	285.751	435.632	68.6254	1347.34
92 	16    	85.3433	29.028 	70.7821	173.381
93 	16    	75.6738	7.86831	68.1746	104.31 
94 	16    	74.0695	2.87525	70.1627	80.4929
95 	16    	72.7496	1.71662	70.0713	76.0986
96 	16    	75.2757	10.1998	68.0572	113.286
97 	16    	74.7887	5.97484	69.9944	94.7639
98 	16    	73.9104	4.73921	68.8702	85.7337
99 	16    	72.9417	2.32005	69.4941	78.706 
